Flow Duration,Fwd Pkt Len Mean,Fwd IAT Mean,Pkt Len Mean,Pkt Len Var,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Active Mean,Idle Mean
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
11557810.88,352.8968374,71865.17121,353.2403274,81.80039475,524.0790918,352.8968374,351,0,0
